"Id_organizationsDataSet","NAME_organizationsDataSet","ADDRESS_organizationsDataSet","CITY_organizationsDataSet","STATE_organizationsDataSet","ZIP_organizationsDataSet","PHONE_organizationsDataSet"
"74ab949d-17ac-3309-83a0-13b4405c66aa","Fitchburg Outpatient Clinic","881 Main Street","Fitchburg","MA",1420,"978-342-9781 Or 978-342-9781"
"17a4bae5-8b64-34d7-8144-b428be027bd0","NURSE ON CALL","512 MAIN STREET  SUITE 211","SHREWSBURY","MA",15456406,"5088451232"
"e09d4c49-c2ef-3b0f-9a46-3719d9219306","UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC","60 HOSPITAL RD","LEOMINSTER","MA",14533290,"9784662000"
"2936ca90-6594-357d-be14-53fe0ab84dd1","KINGSBURY PRIMARY CARE PC","11 TREMONT ST","KINGSTON","MA",23641231,"7815855518"
"ab701a70-a658-340e-8f69-ee196a7d40c6","CAREWELL URGENT CARE CENTERS OF MA  PC","484 RTE 134","WORCESTER","MA",16071728,"5086947901"
"11ba6a26-59b4-3728-a268-6dc9929962b4","COURTYARD NURSING CARE CENTER","200 GOVERNORS AVENUE","MEDFORD","MA",21551644,"7813915400"
"8a2e2731-3240-39d1-b4f0-cad14200937d","MORTON HOSPITAL  A STEWARD FAMILY HOSPITAL  INC.","88 WASHINGTON ST","TAUNTON","MA",27802465,"6174194772"
"592a8cbc-999b-3060-89e3-60925fa3c349","NORTH HILL HOME HEALTH CARE  INC.","865 CENTRAL AVE","NEEDHAM","MA",24921316,"7814336308"
"fa564970-fde4-332c-91d9-c0747b032d3e","RIVERBEND OF SOUTH NATICK","34 SOUTH LINCOLN STREET","NATICK","MA",17606049,"5086538330"
"1311c44a-85cb-3aea-a143-e5d7892ced8b","GROVE HILL MEDICAL CENTER PC","300 KENSINGTON AVE","SPRINGFIELD","MA",11071139,"8602246201"
"667b46fe-0afa-3f70-a311-bbe3d52db050","URGENT CARE CENTERS OF CENTRAL MASSACHUSETTS LLC","757 BOSTON POST RD","WORCESTER","MA",16071728,"6173024194"
"a4af40b8-0ddb-34bb-ae4a-95a17e9ad6f3","COMPASSIONATE CARE HOSPICE OF SOUTHEASTERN MASS LL","100 MYLES STANDISH BOULEVARD  SUITE 103","TAUNTON","MA",27807340,"5083995900"
"570d1c4d-e28b-3f11-9250-47f6b3044c22","NEWVISION HEALTHCARE SERVICES LLC","747 WATER ST","BRAINTREE","MA",21844772,"1508665530"
"f945589f-88aa-366b-9e9d-2418d091112d","CENTER FOR DIGESTIVE WELLNESS PC","105 ERDMAN WAY","LEOMINSTER","MA",14531805,"9785377552"
